time_series_name,index
z_NVC8NN0168_MO_BlankRow_OS_95,166
z_NVC8NN0168_MO_BlankRow_OS_29,167
z_NVC8NN0168_MO_OS_Canadapaidstreamingmembershipsnetadditionsmix,168
z_NVC8NN0168_MO_OS_UnitedStatesandCanadaPaidStreamingMembershipsNetAdditionsMix,169
z_NVC8NN0168_MO_OS_EMEAPaidStreamingMembershipsNetAdditionsMix,170
z_NVC8NN0168_MO_OS_LatinAmericaPaidStreamingMembershipsNetAdditionsMix,171
z_NVC8NN0168_MO_OS_AsiaPacificPaidStreamingMembershipsNetAdditionsMix,172
z_NVC8NN0168_MO_OS_TotalPaidStreamingMembershipsNetAdditionsMix,173
z_NVC8NN0168_MO_BlankRow_OS_96,174
z_NVC8NN0168_MO_OS_UnitedStatesStreamingARPU_1,175
z_NVC8NN0168_MO_OS_CalculatedCanadaStreamingARPU_1,176
z_NVC8NN0168_MO_OS_UnitedStatesCanadaStreamingARPU_1,177
z_NVC8NN0168_MO_OS_EMEAStreamingARPU,178
z_NVC8NN0168_MO_OS_LatinAmericaStreamingARPU_1,179
z_NVC8NN0168_MO_OS_AsiaPacificStreamingARPU_1,180
z_NVC8NN0168_MO_OS_GlobalStreamingARPU,181
z_NVC8NN0168_MO_BlankRow_OS_30,182
z_NVC8NN0168_MO_OS_InternationalStreamingRevenue_2,183
z_NVC8NN0168_MO_OS_UnitedStatesstreamingrevenue_1,184
z_NVC8NN0168_MO_OS_CalculatedCanadastreamingrevenue_1,185
z_NVC8NN0168_MO_OS_UnitedStatesCanadaStreamingRevenue_1,186
z_NVC8NN0168_MO_OS_EMEAStreamingRevenue,187
z_NVC8NN0168_MO_OS_LatinAmericaStreamingRevenue_1,188
z_NVC8NN0168_MO_OS_AsiaPacificStreamingRevenue_1,189
z_NVC8NN0168_MO_OS_TotalStreamingRevenue,190
z_NVC8NN0168_MO_OS_UnitedStatesDVDRevenue_2,191
z_NVC8NN0168_MO_OS_TotalRevenue_2,192
z_NVC8NN0168_MO_BlankRow_OS_97,193
z_NVC8NN0168_MO_OS_InternationalStreamingRevenueMix,194
z_NVC8NN0168_MO_OS_UnitedStatesstreamingrevenuemix,195
z_NVC8NN0168_MO_OS_CalculatedCanadastreamingrevenuemix,196
z_NVC8NN0168_MO_OS_UnitedStatesCanadaStreamingRevenueMix,197
z_NVC8NN0168_MO_OS_EMEAStreamingRevenueMix,198
z_NVC8NN0168_MO_OS_LatinAmericaStreamingRevenueMix,199
z_NVC8NN0168_MO_OS_AsiaPacificStreamingRevenueMix,200
z_NVC8NN0168_MO_OS_TotalStreamingRevenueMix,201
z_NVC8NN0168_MO_OS_UnitedStatesDVDRevenueMix,202
z_NVC8NN0168_MO_OS_TotalRevenueMixmm,203
z_NVC8NN0168_MO_BlankRow_OS_37,204
MO_Section_OperatingExpenseForecasting,205
z_NVC8NN0168_MO_Section_OS_OperatingExpenseForecasting,205
z_NVC8NN0168_MO_OS_Revenue_4,206
z_NVC8NN0168_MO_BlankRow_OS_75,207
MO_RIS_DAintangibles,208
z_NVC8NN0168_MO_OS_Amortizationofcontentlibrary_1,208
z_NVC8NN0168_MO_OS_OtherCOGS,209
z_NVC8NN0168_MO_OS_TotalCOGS_1,210
z_NVC8NN0168_MO_OS_OtherCOGSMargin,211
z_NVC8NN0168_MO_OS_YYimprovementinOtherCOGSMargin,212
z_NVC8NN0168_MO_BlankRow_OS_76,213
z_NVC8NN0168_MO_OS_GrossProfit,214
z_NVC8NN0168_MO_OS_YYgrowthingrossprofit,215
z_NVC8NN0168_MO_OS_GrossMargin,216
z_NVC8NN0168_MO_OS_ConsensusEstimatesGrossMargin,217
z_NVC8NN0168_MO_OS_YYimprovementinGrossMargin,218
z_NVC8NN0168_MO_BlankRow_OS_77,219
z_NVC8NN0168_MO_OS_RDExpense,220
z_NVC8NN0168_MO_OS_YYgrowthinRDexpense,221
z_NVC8NN0168_MO_OS_RDMargin,222
z_NVC8NN0168_MO_OS_YYimprovementinRDMargin,223
z_NVC8NN0168_MO_BlankRow_OS_78,224
z_NVC8NN0168_MO_OS_SMExpense,225
z_NVC8NN0168_MO_OS_YYgrowthinSMexpense,226
z_NVC8NN0168_MO_OS_SMMargin,227
z_NVC8NN0168_MO_OS_YYimprovementinSMMargin,228
z_NVC8NN0168_MO_BlankRow_OS_79,229
z_NVC8NN0168_MO_OS_GAExpense,230
z_NVC8NN0168_MO_OS_YYgrowthinGAexpense,231
z_NVC8NN0168_MO_OS_GAMargin,232
z_NVC8NN0168_MO_OS_YYimprovementinGAMargin,233
z_NVC8NN0168_MO_BlankRow_OS_80,234
z_NVC8NN0168_MO_OS_EBIT,235
z_NVC8NN0168_MO_OS_YYgrowthinEBIT,236
z_NVC8NN0168_MO_OS_EBITMargin,237
z_NVC8NN0168_MO_OS_YYimprovementinEBITMargin,238
z_NVC8NN0168_MO_BlankRow_OS_83,239
MO_Section_OperatingStatsContentLibraryAmortizationSchedule,240
z_NVC8NN0168_MO_Section_OS_OperatingStatsContentLibraryAmortizationSchedule,240
z_NVC8NN0168_MO_OS_contentlibrarybop,241
z_NVC8NN0168_MO_OS_additionstocontentlibrary,242
z_NVC8NN0168_MO_OS_amortizationofcontentlibrary,243
z_NVC8NN0168_MO_OS_Otheradditionssubtractions,244
z_NVC8NN0168_MO_OS_contentlibraryeop,245
z_NVC8NN0168_MO_BlankRow_OS_10,246
z_NVC8NN0168_MO_OS_expectedcontentlibrarylife,247
z_NVC8NN0168_MO_BlankRow_OS_98,248
z_NVC8NN0168_MO_AN_Licensedcontentamortization,249
z_NVC8NN0168_MO_AN_Producedcontentamortization,250
z_NVC8NN0168_MO_AN_StreamingContentamortization,251
z_NVC8NN0168_MO_AN_DVDcontentamortization,252
z_NVC8NN0168_MO_AN_Totalamortization,253
z_NVC8NN0168_MO_BlankRow_OS_11,254
MO_Section_KeyMetricsShareofUSTVTimePR,255
z_NVC8NN0168_MO_Section_OS_KeyMetricsShareofUSTVTimePR,255
z_NVC8NN0168_MO_OS_NetflixstreamingasofTVtime,256
z_NVC8NN0168_MO_OS_YouTubestreamingasofTVtime,257
z_NVC8NN0168_MO_OS_HulustreamingasofTVtime,258
z_NVC8NN0168_MO_OS_PrimeVideostreamingasofTVtime,259
z_NVC8NN0168_MO_OS_DisneystreamingasofTVtime,260
z_NVC8NN0168_MO_OS_OtherstreamingasofTVtime,261
z_NVC8NN0168_MO_OS_TotalStreamingasofTVtime,262
z_NVC8NN0168_MO_OS_BroadcastasofTVtime,263
z_NVC8NN0168_MO_OS_CableasofTVtime,264
z_NVC8NN0168_MO_OS_OtherasofTVtime,265
z_NVC8NN0168_MO_OS_TotalUSTVTime,266
z_NVC8NN0168_MO_BlankRow_OS_91,267
MO_Section_KeyMetricsYYCostGranularityFS,268
z_NVC8NN0168_MO_Section_OS_KeyMetricsYYCostGranularityFS,268
z_NVC8NN0168_MO_OS_PreviousCOGS,269
z_NVC8NN0168_MO_OS_COGSChangeinContentamortization,270
z_NVC8NN0168_MO_OS_COGSChangeinincrementalcontentcostsduetopausedproductionandhardshipfundcommitmentsduetoCOVID19,271
z_NVC8NN0168_MO_OS_COGSChangeinacquisitionlicensingandproductionofcontent,272
z_NVC8NN0168_MO_OS_COGSChangeinstreamingdeliverycostsandpaymentprocessingfees,273
z_NVC8NN0168_MO_OS_COGSChangeinOthercosts,274
z_NVC8NN0168_MO_OS_COGSChangeDiscrepancy,275
z_NVC8NN0168_MO_OS_CurrentCOGS,276
z_NVC8NN0168_MO_BlankRow_OS_39,277
z_NVC8NN0168_MO_OS_PreviousMarketing,278
z_NVC8NN0168_MO_OS_MarketingChangePersonnelrelatedexpenses,279
z_NVC8NN0168_MO_OS_MarketingChangeAdvertisingandpaymentstopartners,280
z_NVC8NN0168_MO_OS_MarketingChangeDiscrepancy,281
z_NVC8NN0168_MO_OS_CurrentMarketing,282
z_NVC8NN0168_MO_BlankRow_OS_40,283
z_NVC8NN0168_MO_OS_PreviousTechnologyandDevelopment,284
z_NVC8NN0168_MO_OS_TechDevChangePersonnelexpenses,285
z_NVC8NN0168_MO_OS_TechDevChangeThirdpartyexpenses,286
z_NVC8NN0168_MO_OS_TechDevChangeDiscrepancy,287
z_NVC8NN0168_MO_OS_CurrentTechnologyandDevelopment,288
z_NVC8NN0168_MO_BlankRow_OS_41,289
z_NVC8NN0168_MO_OS_PreviousGA,290
z_NVC8NN0168_MO_OS_GAChangePersonnelrelatedexpenses,291
z_NVC8NN0168_MO_OS_GAChangeThirdpartyexpenses,292
z_NVC8NN0168_MO_OS_GAChangeDiscrepancy,293
z_NVC8NN0168_MO_OS_CurrentGA,294
z_NVC8NN0168_MO_BlankRow_OS_42,295
z_NVC8NN0168_MO_OS_PreviousDomesticCOGS,296
z_NVC8NN0168_MO_OS_DomesticCOGSChangeinContentamortization,297
z_NVC8NN0168_MO_OS_DomesticCOGSChangeinStreamingdeliveryexpenses,298
z_NVC8NN0168_MO_OS_DomesticCOGSChangesinOthercosts,299
z_NVC8NN0168_MO_OS_DomesticCOGSDiscrepancies,300
z_NVC8NN0168_MO_OS_CurrentDomesticCOGS,301
z_NVC8NN0168_MO_BlankRow_OS_16,302
z_NVC8NN0168_MO_OS_PreviousInternationalCOGS,303
z_NVC8NN0168_MO_OS_InternationalCOGSChangeinContentamortization,304
z_NVC8NN0168_MO_OS_InternationalCOGSChangesinOthercosts,305
z_NVC8NN0168_MO_OS_InternationalCOGSDiscrepancies,306
z_NVC8NN0168_MO_OS_CurrentInternationalCOGS,307
z_NVC8NN0168_MO_BlankRow_OS_17,308
MO_Section_MarginAnalysis,309
z_NVC8NN0168_MO_Section_MA_MarginAnalysis,309
z_NVC8NN0168_MO_MA_domesticstreamingcogs,310
z_NVC8NN0168_MO_MA_internationalstreamingcogs,311
z_NVC8NN0168_MO_MA_domesticdvdcogs,312
MO_MA_COGS,313
z_NVC8NN0168_MO_MA_COGSMargin_3,313
MO_MA_GM,314
z_NVC8NN0168_MO_MA_GrossMargin_3,314
z_NVC8NN0168_MO_MA_consensusestimatesgrossmargin,315
z_NVC8NN0168_MO_BlankRow_MA,316
MO_MA_RD,317
z_NVC8NN0168_MO_MA_RDMargin,317
z_NVC8NN0168_MO_MA_domesticstreamingmarketing,318
z_NVC8NN0168_MO_MA_internationalstreamingmarketing,319
z_NVC8NN0168_MO_MA_domesticdvdmarketing,320
MO_MA_SM,321
z_NVC8NN0168_MO_MA_SMMargin,321
MO_MA_GA,322
MO_MA_SGA,322
z_NVC8NN0168_MO_MA_GAMargin,322
MO_MA_EBIT,323
z_NVC8NN0168_MO_MA_EBITMargin,323
MO_MA_EBIT_Adj,324
z_NVC8NN0168_MO_MA_AdjustedEBITMargin,324
z_NVC8NN0168_MO_MA_ConsensusEstimatesAdjustedEBITMargin,325
z_NVC8NN0168_MO_BlankRow_MA_6,326
MO_MA_DA,327
z_NVC8NN0168_MO_MA_AddbackDAMargin,327
MO_MA_SBC,328
z_NVC8NN0168_MO_MA_AddbackSBCMargin,328
MO_MA_EBITDA,329
z_NVC8NN0168_MO_MA_EBITDAMargin,329
MO_MA_EBITDA_Adj,330
z_NVC8NN0168_MO_MA_AdjustedEBITDAMargin,330
z_NVC8NN0168_MO_MA_consensusestimatesadjustedebitdamargin,331
z_NVC8NN0168_MO_BlankRow_MA_7,332
MO_Section_IncomeStatement,333
z_NVC8NN0168_MO_Section_IS_IncomeStatement,333
MO_IS_FirstRow,334
MO_IS_REV,334
z_NVC8NN0168_MO_IS_revenues,334
z_NVC8NN0168_MO_IS_subscription,335
z_NVC8NN0168_MO_IS_fulfillmentexpenses,336
z_NVC8NN0168_MO_IS_costofrevenues,337
MO_IS_GP,338
z_NVC8NN0168_MO_IS_grossprofit,338
z_NVC8NN0168_MO_IS_marketing,339
z_NVC8NN0168_MO_IS_technologyanddevelopment,340
z_NVC8NN0168_MO_IS_generalandadministrative,341
z_NVC8NN0168_MO_IS_totaloperatingexpenses,342
MO_IS_EBIT,343
z_NVC8NN0168_MO_IS_operatingincome,343
z_NVC8NN0168_MO_IS_interestexpense,344
z_NVC8NN0168_MO_IS_Interestandotherincomeexpense,345
z_NVC8NN0168_MO_IS_Lossonextinguishmentofdebt,346
MO_IS_EBT,347
z_NVC8NN0168_MO_IS_incomebeforeincometaxes,347
z_NVC8NN0168_MO_IS_provisionforincometaxes,348
MO_IS_NI_ContinOp,349
z_NVC8NN0168_MO_IS_netincome,349
z_NVC8NN0168_MO_BlankRow_IS,350
MO_Checks_IS,351
z_NVC8NN0168_MO_IS_ISCheck,351
z_NVC8NN0168_MO_BlankRow_IS_1,352
MO_Section_AdjustedNumbers,353
z_NVC8NN0168_MO_Section_AN_AdjustedNumbers,353
z_NVC8NN0168_MO_AN_gaapnetincome,354
z_NVC8NN0168_MO_AN_Interestandotherincomeexpense,355
z_NVC8NN0168_MO_AN_provisionbenefitforincometaxes,356
z_NVC8NN0168_MO_AN_da,357
z_NVC8NN0168_MO_AN_sbc,358
MO_AN_EBITDA_Adj,359
z_NVC8NN0168_MO_AN_adjustedebitda,359
z_NVC8NN0168_MO_BlankRow_AN,360
z_NVC8NN0168_MO_AN_Netcashfromoperatingactivities,361
z_NVC8NN0168_MO_AN_AcquisitionofDVDcontentassets,362
z_NVC8NN0168_MO_AN_Purchasesofpropertyandequipment,363
z_NVC8NN0168_MO_AN_Changeinotherassets,364
z_NVC8NN0168_MO_AN_FreeCashFlow,365
z_NVC8NN0168_MO_BlankRow_AN_5,366
z_NVC8NN0168_MO_AN_gaapnetincome_1,367
z_NVC8NN0168_MO_AN_Lossonextinguishmentofdebt,368
z_NVC8NN0168_MO_AN_releaseoftaxaccrual,369
z_NVC8NN0168_MO_AN_foreignexchangeimpact,370
z_NVC8NN0168_MO_AN_incometaxeffect,371
MO_AN_NI_NONGAAP_Diluted,372
z_NVC8NN0168_MO_AN_nongaapnetincome,372
