time_series_name,index
z_GMEG0H0133_MO_OS_YYTotalrevenuegrowth,51
z_GMEG0H0133_MO_BlankRow_OS_56,52
MO_Section_OperatingStatsProductionandCapacityPR,53
z_GMEG0H0133_MO_Section_OS_OperatingStatsProductionandCapacityPR,53
z_GMEG0H0133_MO_OS_ModelSXproduction,54
z_GMEG0H0133_MO_OS_QQModelSXproductiongrowth,55
z_GMEG0H0133_MO_OS_YYModelSXproductiongrowth,56
z_GMEG0H0133_MO_OS_Model3Yproduction,57
z_GMEG0H0133_MO_OS_QQModel3Yproductiongrowth,58
z_GMEG0H0133_MO_OS_YYModel3Yproductiongrowth,59
z_GMEG0H0133_MO_OS_CybertruckTeslaSemiproduction,60
z_GMEG0H0133_MO_OS_QQCybertruckTeslaSemiproductiongrowth,61
z_GMEG0H0133_MO_OS_YYCybertruckTeslaSemiproductiongrowth,62
MO_OS_Vehicle_Production,63
z_GMEG0H0133_MO_OS_TotalProduction,63
z_GMEG0H0133_MO_OS_QQtotalproductiongrowth_1,64
z_GMEG0H0133_MO_OS_YYtotalproductiongrowth_1,65
z_GMEG0H0133_MO_BlankRow_OS_62,66
z_GMEG0H0133_MO_OS_ModelSXdeliveriesasofproduction,67
z_GMEG0H0133_MO_OS_Model3Ydeliveriesasofproduction,68
z_GMEG0H0133_MO_OS_CybertruckTeslaSemideliveriesasofproduction,69
z_GMEG0H0133_MO_OS_TotalDeliveriesasofProduction,70
z_GMEG0H0133_MO_BlankRow_OS_47,71
z_GMEG0H0133_MO_OS_ModelSModelXannualproductioncapacityinFremont,72
z_GMEG0H0133_MO_OS_Model3ModelYannualproductioncapacityinFremont,73
z_GMEG0H0133_MO_OS_Model3annualproductioncapacityinShanghai,74
z_GMEG0H0133_MO_OS_Model3ModelYannualproductioncapacityinBerlin,75
z_GMEG0H0133_MO_OS_Model3ModelYannualproductioncapacityinTexas,76
z_GMEG0H0133_MO_OS_CybertruckTeslaSemiannualproductioncapacityinTexas,77
z_GMEG0H0133_MO_OS_TotalModel3ModelYAnnualProductionCapacity,78
z_GMEG0H0133_MO_BlankRow_OS_31,79
z_GMEG0H0133_MO_OS_ModelSModelXcapacityutilization,80
z_GMEG0H0133_MO_OS_Model3ModelYcapacityutilization,81
z_GMEG0H0133_MO_OS_CybertruckTeslaSemicapacityutilization,82
z_GMEG0H0133_MO_BlankRow_OS_32,83
MO_Section_OperatingStatsAutomotiveDeliveriesPR,84
z_GMEG0H0133_MO_Section_OS_OperatingStatsAutomotiveDeliveriesPR,84
z_GMEG0H0133_MO_OS_Globalinventory,85
